Column1,city,lat,lng
0,Delhi,28.61,77.23
1,Mumbai,19.0761,72.8775
2,Kolkata,22.5675,88.37
3,Bangalore,12.9789,77.5917
4,Chennai,13.0825,80.275
5,Hyderabad,17.385,78.4867
6,Pune,18.5203,73.8567
7,Ahmedabad,23.03,72.58
8,Surat,21.1702,72.8311
9,Prayagraj,25.4358,81.8464
10,Lucknow,26.85,80.95
11,Jaipur,26.9,75.8
12,Cawnpore,26.4499,80.3319
13,Mirzapur,25.146,82.569
14,Nagpur,21.1497,79.0806
15,Ghaziabad,28.67,77.42
16,Vadodara,22.3,73.2
17,Vishakhapatnam,17.7042,83.2978
18,Indore,22.7167,75.8472
19,Thane,19.1972,72.9722
20,Bhopal,23.25,77.4167
21,Chinchvad,18.6186,73.8037
22,Patna,25.6,85.1
23,Bilaspur,22.09,82.15
24,Ludhiana,30.91,75.85
25,Agra,27.18,78.02
26,Agwar,27.18,78.02
27,Madurai,9.9252,78.1198
28,Jamshedpur,22.7925,86.1842
29,Nasik,20.0,73.78
30,Faridabad,28.4167,77.3
31,Aurangabad,19.88,75.32
32,Rajkot,22.3,70.7833
33,Meerut,28.98,77.71
34,Jabalpur,23.1667,79.9333
35,Kalamboli,19.2333,73.1333
36,Vasai,19.47,72.8
37,Najafgarh,28.6092,76.9798
38,Varanasi,25.3189,83.0128
39,Srinagar,34.09,74.79
40,Dhanbad,23.7998,86.4305
41,Amritsar,31.64,74.86
42,Aligarh,27.88,78.08
43,Guwahati,26.1722,91.7458
44,Haora,22.58,88.3294
45,Ranchi,23.36,85.33
46,Gwalior,26.2215,78.178
47,Vijayawada,16.5193,80.6305
48,Chandigarh,30.75,76.78
49,Jodhpur,26.28,73.02
50,Raipur,21.25,81.63
51,Kota,25.18,75.83
52,New Delhi,28.6139,77.209
53,Bareilly,28.364,79.415
54,Coimbatore,11.0168,76.9558
55,Solapur,17.68,75.92
56,Trichinopoly,10.7903,78.7047
57,Moradabad,28.8389,78.7769
58,Tiruppur,11.1085,77.3411
59,Gurgaon,28.456,77.029
60,Jalandhar,31.2569,75.4432
61,Kalkaji Devi,28.5485,77.2513
62,Bhubaneshwar,20.27,85.84
63,Bhayandar,19.29,72.85
64,Mandvi,19.3,72.85
65,Patiala,30.34,76.38
66,Dhulia,20.8997,74.7697
67,Thiruvananthapuram,8.4875,76.9525
68,Bhiwandi,19.2967,73.0631
69,Saharanpur,29.964,77.546
70,Warangal,17.9689,79.5941
71,Shiliguri,26.71,88.43
72,Salem,11.65,78.15
73,Vellore,12.9165,79.1325
74,Kochi,9.97,76.28
75,Gorakhpur,26.7637,83.4039
76,Narela,28.8527,77.0929
77,Guntur,16.3008,80.4428
78,Rasulpur,28.57,77.32
79,Bhavnagar,21.76,72.15
80,Brahmapur,19.315,84.7941
81,Noida,28.57,77.32
82,Bhangar,22.58,88.42
83,Bhilai,21.3667,81.7167
84,Mangalore,12.902,74.8253
85,Bhilai01,21.21,81.38
86,Nagercoil,8.1833,77.4119
87,Raurkela,22.2492,84.8828
88,Cuttack,20.5236,85.7881
89,Tumkur,13.34,77.1
90,Durgapur,23.55,87.32
91,Dehra Dun,30.345,78.029
92,Chapra,25.7848,84.7274
93,Asansol,23.68,86.99
94,Kolhapur,16.6917,74.2333
95,Nellore,14.45,79.99
96,Nanded,19.15,77.3
97,Ajmer,26.4499,74.6399
98,Amravati,20.9258,77.7647
99,Gulbarga,17.329,76.825
100,Bikaner,28.0167,73.3119
101,Agartala,23.8333,91.2833
102,Loni,28.75,77.28
103,Ujjain,23.17,75.79
104,Ulhasnagar,19.22,73.15
105,Bhilwara,25.35,74.63
112,Gaya,24.75,85.01
113,Ambattur,13.1143,80.1548
114,Salt Lake City,22.61,88.4
115,Jalgaon,21.004,75.568
116,Kurnool,15.83,78.05
117,Udaipur,24.58,73.68
118,Mathura,27.4925,77.6736
119,Sangli,16.8667,74.5667
120,Davangere,14.4666,75.9242
121,Calicut,11.25,75.77
122,Akola,20.7,77.0
123,Bettiah,26.8014,84.5028
124,Delhi Cantonment,28.6,77.1333
125,Shorapur,16.52,76.76
126,Bhagalpur,25.25,87.0
127,Bellary,15.1,76.9167
128,Padiala,30.5667,76.6333
129,Quilon,8.88,76.6
130,Kukatpalli,17.4849,78.4138
131,Bhatpara,22.87,88.41
132,Hazaribagh,23.98,85.35
133,Kakinada,16.9661,82.255
134,Darbhanga,26.17,85.9
135,Sirur,18.83,74.38
136,Sardarshahr,28.4401,74.4908
137,Panihati,22.69,88.37
139,Maler Kotla,30.5167,75.8833
140,Korba,22.35,82.68
141,Dasarhalli,13.0465,77.513
142,Sikar,27.62,75.15
143,Sasaram,24.95,84.03
144,Karur,10.9601,78.0766
145,Karnal,29.686,76.989
146,Chanda,19.95,79.297
